Region,Main_Sector,Price_Type,n,mean,median,std,var,min,max,range,Q1,Q3,IQR,P10,P25,P50,P75,P90,CV,QCD
Davao Region,"Agriculture, forestry, and fishing",At Current Prices,25,134178608.04,116919191.0,101265997.7646,1.0254802303263838e+16,36591389.0,462271077.0,425679688.0,67182315.0,144355518.0,77173203.0,44059391.8,67182315.0,116919191.0,144355518.0,215009838.0,0.7547,0.3648
Davao Region,Gross Domestic Product,At Constant 2018 Prices,25,676932918.04,528097604.0,448700115.8562,2.0133179396935126e+17,286212024.0,2036428209.0,1750216185.0,384620255.0,833225496.0,448605241.0,318294864.6,384620255.0,528097604.0,833225496.0,1009849740.2,0.6628,0.3684
Davao Region,Gross Domestic Product,At Current Prices,25,658338787.0,454315711.0,597255955.5074,3.567146763890612e+17,152937206.0,2510351070.0,2357413864.0,260394849.0,841429225.0,581034376.0,184245903.0,260394849.0,454315711.0,841429225.0,1212846720.4,0.9072,0.5273
Davao Region,Industry,At Constant 2018 Prices,25,156518091.6,103933646.0,118141016.1449,1.39572996957594e+16,55134062.0,501968713.0,446834651.0,76206629.0,202072001.0,125865372.0,65684806.6,76206629.0,103933646.0,202072001.0,258922738.4,0.7548,0.4523
Davao Region,Industry,At Current Prices,25,161357123.6,104937010.0,141235016.3838,1.9947329852932084e+16,46268731.0,593538958.0,547270227.0,69793001.0,208533209.0,138740208.0,53860520.0,69793001.0,104937010.0,208533209.0,293059393.2,0.8753,0.4985
Davao Region,Services,At Constant 2018 Prices,25,411092880.28,308331433.0,315191944.5714,9.93459619227197e+16,139762840.0,1357453633.0,1217690793.0,192530043.0,534043495.0,341513452.0,155686687.6,192530043.0,308331433.0,534043495.0,667454151.6,0.7667,0.47
Davao Region,Services,At Current Prices,25,394272000.44,258595296.0,389637866.8686,1.51817667297945e+17,71579151.0,1583422230.0,1511843079.0,127510683.0,534043495.0,406532812.0,88397897.4,127510683.0,258595296.0,534043495.0,768742432.4,0.9882,0.6145
Eastern Visayas,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,68386145.96,63930205.0,18104828.2125,327784804605075.94,46652509.0,124735686.0,78083177.0,61087940.0,71686893.0,10598953.0,52820081.8,61087940.0,63930205.0,71686893.0,77639201.4,0.2647,0.0798
Eastern Visayas,"Agriculture, forestry, and fishing",At Current Prices,25,60063888.08,61193584.0,29893303.8863,893609617239202.4,21647872.0,148394896.0,126747024.0,41426403.0,63377357.0,21950954.0,27788536.2,41426403.0,61193584.0,63377357.0,77662177.6,0.4977,0.2094
Eastern Visayas,Gross Domestic Product,At Constant 2018 Prices,25,383462502.76,320330763.0,212704838.0118,4.524334811363818e+16,197055277.0,1046784295.0,849729018.0,261794426.0,434767718.0,172973292.0,212211089.0,261794426.0,320330763.0,434767718.0,521091675.2,0.5547,0.2483
Eastern Visayas,Gross Domestic Product,At Current Prices,25,345859540.04,272677861.0,257567787.1131,6.63411649583226e+16,103764213.0,1136447265.0,1032683052.0,183249360.0,414265871.0,231016511.0,121594586.0,183249360.0,272677861.0,414265871.0,555356328.2,0.7447,0.3866
Eastern Visayas,Industry,At Constant 2018 Prices,25,152876727.52,122847771.0,86969935.3598,7563769656488083.0,79713163.0,422960143.0,343246980.0,105391265.0,172658839.0,67267574.0,85344627.8,105391265.0,122847771.0,172658839.0,209192787.4,0.5689,0.2419
Eastern Visayas,Industry,At Current Prices,25,134246188.64,111990708.0,91719513.7393,8412469200576686.0,44830655.0,416050168.0,371219513.0,76751048.0,159630116.0,82879068.0,50531631.0,76751048.0,111990708.0,159630116.0,205980155.4,0.6832,0.3506
Eastern Visayas,Services,At Constant 2018 Prices,25,169066098.8,137095393.0,116212009.7306,1.3505231205624498e+16,72437292.0,522979074.0,450541782.0,92835220.0,206999385.0,114164165.0,76005618.2,92835220.0,137095393.0,206999385.0,259673511.4,0.6874,0.3808
Eastern Visayas,Services,At Current Prices,25,158195611.0,111728887.0,144202092.0632,2.0794243355406868e+16,38144650.0,598092230.0,559947580.0,61319933.0,209683913.0,148363980.0,44405518.0,61319933.0,111728887.0,209683913.0,291399889.0,0.9115,0.5475
Ilocos Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,25,104360130.6,99266871.0,38677276.59,1495931724417288.5,63417221.0,225574641.0,162157420.0,83313551.0,108939138.0,25625587.0,69500465.0,83313551.0,99266871.0,108939138.0,112541830.2,0.3706,0.1333
Ilocos Region,"Agriculture, forestry, and fishing",At Current Prices,25,96131275.56,90974917.0,56237935.4371,3162705382227931.5,34947897.0,267441307.0,232493410.0,63224597.0,104414631.0,41190034.0,40440403.8,63224597.0,90974917.0,104414631.0,133752410.6,0.585,0.2457
Ilocos Region,Gross Domestic Product,At Constant 2018 Prices,25,493348367.0,398616600.0,294706359.8841,8.685183855611334e+16,240124758.0,1402456269.0,1162331511.0,307818091.0,581877977.0,274059886.0,257283233.2,307818091.0,398616600.0,581877977.0,693515039.4,0.5974,0.308
Ilocos Region,Gross Domestic Product,At Current Prices,25,466653443.36,356651167.0,377480700.8816,1.4249167953807336e+17,128944988.0,1626927464.0,1497982476.0,218353822.0,587597251.0,369243429.0,151525578.2,218353822.0,356651167.0,587597251.0,784041366.8,0.8089,0.4581
Ilocos Region,Industry,At Constant 2018 Prices,25,137591145.36,98751374.0,95371678.547,9095757068877568.0,58779036.0,428138473.0,369359437.0,76954632.0,169817032.0,92862400.0,63772044.2,76954632.0,98751374.0,169817032.0,209358576.8,0.6932,0.3763
Ilocos Region,Industry,At Current Prices,25,134518318.92,91225876.0,122151557.3195,1.4921002955577256e+16,33488298.0,511620363.0,478132065.0,55807934.0,172137616.0,116329682.0,39065229.8,55807934.0,91225876.0,172137616.0,239280536.4,0.9081,0.5103
Ilocos Region,Services,At Constant 2018 Prices,25,267722433.24,214689587.0,174406313.9896,3.0417562359432644e+16,120464671.0,801616995.0,681152324.0,147846695.0,318038777.0,170192082.0,128042396.4,147846695.0,214689587.0,318038777.0,399679502.0,0.6514,0.3653
Ilocos Region,Services,At Current Prices,25,252038643.04,187221902.0,214430255.0709,4.598033428977146e+16,61936401.0,906123070.0,844186669.0,104284779.0,325619279.0,221334500.0,74410428.8,104284779.0,187221902.0,325619279.0,442662574.2,0.8508,0.5148
MIMAROPA,"Agriculture, forestry, and fishing",At Constant 2018 Prices,24,64331089.5833,66006234.5,6407678.7794,41058347339382.35,49181571.0,75042816.0,25861245.0,61813048.5,67748622.75,5935574.25,54867288.4,61813048.5,66006234.5,67748622.75,70562998.0,0.0996,0.0458
MIMAROPA,"Agriculture, forestry, and fishing",At Current Prices,24,48212679.4583,50535012.5,18614565.6747,346502055256182.5,20650071.0,82592658.0,61942587.0,31731621.5,62419635.5,30688014.0,22903546.9,31731621.5,50535012.5,62419635.5,69758369.4,0.3861,0.3259
MIMAROPA,Gross Domestic Product,At Constant 2018 Prices,24,263246151.2083,248078214.5,89789454.0995,8062146067485875.0,124948855.0,411434973.0,286486118.0,190206710.75,345574445.25,155367734.5,152957101.0,190206710.75,248078214.5,345574445.25,381971984.8,0.3411,0.29
MIMAROPA,Gross Domestic Product,At Current Prices,24,234034457.5833,221738456.5,122201140.7045,1.4933118789486428e+16,66182382.0,472213804.0,406031422.0,128849282.25,327122398.25,198273116.0,87070364.5,128849282.25,221738456.5,327122398.25,380573830.9,0.5222,0.4348
MIMAROPA,Industry,At Constant 2018 Prices,24,87395427.5417,81989203.0,34701717.6165,1204209205538775.8,29564667.0,136989190.0,107424523.0,60079643.0,120806807.75,60727164.75,45350649.9,60079643.0,81989203.0,120806807.75,133138036.7,0.3971,0.3357
MIMAROPA,Industry,At Current Prices,24,82209852.25,83924661.5,38251585.6493,1463183804685567.5,20612995.0,158605195.0,137992200.0,51437935.25,106566086.0,55128150.75,32962997.7,51437935.25,83924661.5,106566086.0,131131004.2,0.4653,0.3489
MIMAROPA,Services,At Constant 2018 Prices,24,121390172.4583,111482896.0,54455945.1562,2965449962853595.0,50251795.0,222708243.0,172456448.0,73291994.5,171839528.75,98547534.25,57234352.6,73291994.5,111482896.0,171839528.75,191623754.5,0.4486,0.402
MIMAROPA,Services,At Current Prices,24,113110276.6667,95820566.0,72649263.5718,5277915497528872.0,27188606.0,273872137.0,246683531.0,51106081.75,168338205.75,117232124.0,34004466.9,51106081.75,95820566.0,168338205.75,203340319.7,0.6423,0.5342
MIMAROPA Region,"Agriculture, forestry, and fishing",At Constant 2018 Prices,3,72187725.0,70959793.0,2374644.9535,5638938655197.0,70678468.0,74924914.0,4246446.0,70819130.5,72942353.5,2123223.0,70734733.0,70819130.5,70959793.0,72942353.5,74131889.8,0.0329,0.0148
MIMAROPA Region,"Agriculture, forestry, and fishing",At Current Prices,3,80011736.0,81567560.0,4752158.6453,22583011790257.0,74676679.0,83790969.0,9114290.0,78122119.5,82679264.5,4557145.0,76054855.2,78122119.5,81567560.0,82679264.5,83346287.2,0.0594,0.0283
